result_id,module,analysis_population,stratum_variable,stratum_value,metric,category,numerator,denominator,unknown_count,percentage,value,unit,notes,source_table,framework
AGE0021,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_75,ELIGIBILITY_CATEGORY,YES,978,1218,27,80.295567,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0022,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_75,ELIGIBILITY_CATEGORY,NO,213,1218,27,17.487685,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0023,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_75,ELIGIBILITY_CATEGORY,UNKNOWN,27,1218,27,2.216749,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0024,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_75,ELIGIBILITY_CATEGORY,REQUIRES_EXPERT_DECISION,0,1218,27,0.0,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0025,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_80,ELIGIBILITY_CATEGORY,YES,925,1218,27,75.944171,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0026,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_80,ELIGIBILITY_CATEGORY,NO,266,1218,27,21.83908,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0027,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_80,ELIGIBILITY_CATEGORY,UNKNOWN,27,1218,27,2.216749,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0028,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_80,ELIGIBILITY_CATEGORY,REQUIRES_EXPERT_DECISION,0,1218,27,0.0,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0029,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_85,ELIGIBILITY_CATEGORY,YES,858,1218,27,70.44335,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0030,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_85,ELIGIBILITY_CATEGORY,NO,333,1218,27,27.339901,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0031,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_85,ELIGIBILITY_CATEGORY,UNKNOWN,27,1218,27,2.216749,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0032,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_85,ELIGIBILITY_CATEGORY,REQUIRES_EXPERT_DECISION,0,1218,27,0.0,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
