result_id,module,analysis_population,stratum_variable,stratum_value,metric,category,numerator,denominator,unknown_count,percentage,value,unit,notes,source_table,framework
OUT0024,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,NO,161,184,23,87.5,,,,T09_OUTCOME_COVERAGE_SCORES.csv,OUTPUTS
OUT0025,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,UNKNOWN,23,184,23,12.5,,,,T09_OUTCOME_COVERAGE_SCORES.csv,OUTPUTS
OUT0026,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,pressure_injury_occurrence,40,184,29,21.73913,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0027,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,precursor_signs_symptoms,4,184,33,2.173913,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0028,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,mobility,29,184,28,15.76087,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0029,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,acceptability_comfort,23,184,28,12.5,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0030,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,adherence_compliance,4,184,33,2.173913,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0031,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,DOMAIN_PRESENT,adverse_events_safety,22,184,27,11.956522,,,,T08_OUTPUTS_COVERAGE.csv,OUTPUTS
OUT0032,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,ALL_DOMAINS_PRESENT,YES,0,184,33,0.0,,,,T09_OUTCOME_COVERAGE_SCORES.csv,OUTPUTS
OUT0033,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,ALL_DOMAINS_PRESENT,NO,151,184,33,82.065217,,,,T09_OUTCOME_COVERAGE_SCORES.csv,OUTPUTS
OUT0034,OUTCOME_COVERAGE,OUTPUTS_APPLICABLE,COVERAGE_WINDOW,ANY_PLANNED,ALL_DOMAINS_PRESENT,UNKNOWN,33,184,33,17.934783,,,,T09_OUTCOME_COVERAGE_SCORES.csv,OUTPUTS
CHR00001,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Study_Type,ALL,CATEGORY_COUNT,INTERVENTIONAL,1218,1218,0,100.0,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00002,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Randomized,ALL,CATEGORY_COUNT,NO,407,1218,2,33.415435,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00003,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Randomized,ALL,CATEGORY_COUNT,UNKNOWN,2,1218,2,0.164204,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00004,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Randomized,ALL,CATEGORY_COUNT,YES,809,1218,2,66.420361,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00005,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_COLLABORATOR,74,1218,0,6.075534,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00006,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_LEAD,374,1218,0,30.706076,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00007,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Industry_Role,ALL,CATEGORY_COUNT,NO_RECORDED_INDUSTRY_ROLE,770,1218,0,63.218391,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00008,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Device_Study,ALL,CATEGORY_COUNT,NO,623,1218,0,51.149425,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00009,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Device_Study,ALL,CATEGORY_COUNT,YES,595,1218,0,48.850575,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00010,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Country_Scope,ALL,CATEGORY_COUNT,MULTICOUNTRY,96,1218,102,7.881773,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00011,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Country_Scope,ALL,CATEGORY_COUNT,SINGLE_COUNTRY,1020,1218,102,83.743842,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00012,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Country_Scope,ALL,CATEGORY_COUNT,UNKNOWN,102,1218,102,8.374384,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00013,TRIAL_CHARACTERISTICS,ALL_INCLUDED,US_Center,ALL,CATEGORY_COUNT,NO,630,1218,102,51.724138,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00014,TRIAL_CHARACTERISTICS,ALL_INCLUDED,US_Center,ALL,CATEGORY_COUNT,UNKNOWN,102,1218,102,8.374384,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00015,TRIAL_CHARACTERISTICS,ALL_INCLUDED,US_Center,ALL,CATEGORY_COUNT,YES,486,1218,102,39.901478,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00016,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Registration_Timing,ALL,CATEGORY_COUNT,PROSPECTIVE_OR_SAME_DAY,698,1218,1,57.307061,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00017,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Registration_Timing,ALL,CATEGORY_COUNT,RETROSPECTIVE,519,1218,1,42.610837,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00018,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Registration_Timing,ALL,CATEGORY_COUNT,UNKNOWN,1,1218,1,0.082102,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00019,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,ACTIVE_NOT_RECRUITING,29,1218,199,2.380952,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00020,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,COMPLETED,590,1218,199,48.440066,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00021,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,ENROLLING_BY_INVITATION,7,1218,199,0.574713,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00022,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,NOT_YET_RECRUITING,47,1218,199,3.858785,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00023,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,RECRUITING,165,1218,199,13.546798,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00024,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,SUSPENDED,5,1218,199,0.410509,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00025,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,TERMINATED,129,1218,199,10.591133,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00026,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,UNKNOWN,199,1218,199,16.338259,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00027,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Overall_Status,ALL,CATEGORY_COUNT,WITHDRAWN,47,1218,199,3.858785,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00028,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Period,ALL,CATEGORY_COUNT,2008-2016,440,1218,0,36.124795,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00029,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Period,ALL,CATEGORY_COUNT,2017-2018,134,1218,0,11.001642,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00030,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Period,ALL,CATEGORY_COUNT,2019-2025,644,1218,0,52.873563,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00031,TRIAL_CHARACTERISTICS,ALL_INCLUDED,Adult_Relevant_Registry,ALL,CATEGORY_COUNT,YES,1218,1218,0,100.0,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00032,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Study_Type,ALL,CATEGORY_COUNT,INTERVENTIONAL,1218,1218,0,100.0,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00033,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Randomized,ALL,CATEGORY_COUNT,NO,407,1218,2,33.415435,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00034,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Randomized,ALL,CATEGORY_COUNT,UNKNOWN,2,1218,2,0.164204,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00035,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Randomized,ALL,CATEGORY_COUNT,YES,809,1218,2,66.420361,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00036,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_COLLABORATOR,74,1218,0,6.075534,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00037,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_LEAD,374,1218,0,30.706076,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00038,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Industry_Role,ALL,CATEGORY_COUNT,NO_RECORDED_INDUSTRY_ROLE,770,1218,0,63.218391,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00039,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Device_Study,ALL,CATEGORY_COUNT,NO,623,1218,0,51.149425,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00040,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Device_Study,ALL,CATEGORY_COUNT,YES,595,1218,0,48.850575,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00041,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Country_Scope,ALL,CATEGORY_COUNT,MULTICOUNTRY,96,1218,102,7.881773,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00042,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Country_Scope,ALL,CATEGORY_COUNT,SINGLE_COUNTRY,1020,1218,102,83.743842,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00043,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Country_Scope,ALL,CATEGORY_COUNT,UNKNOWN,102,1218,102,8.374384,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00044,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,US_Center,ALL,CATEGORY_COUNT,NO,630,1218,102,51.724138,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00045,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,US_Center,ALL,CATEGORY_COUNT,UNKNOWN,102,1218,102,8.374384,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00046,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,US_Center,ALL,CATEGORY_COUNT,YES,486,1218,102,39.901478,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00047,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Registration_Timing,ALL,CATEGORY_COUNT,PROSPECTIVE_OR_SAME_DAY,698,1218,1,57.307061,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00048,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Registration_Timing,ALL,CATEGORY_COUNT,RETROSPECTIVE,519,1218,1,42.610837,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00049,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Registration_Timing,ALL,CATEGORY_COUNT,UNKNOWN,1,1218,1,0.082102,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00050,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,ACTIVE_NOT_RECRUITING,29,1218,199,2.380952,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00051,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,COMPLETED,590,1218,199,48.440066,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00052,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,ENROLLING_BY_INVITATION,7,1218,199,0.574713,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00053,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,NOT_YET_RECRUITING,47,1218,199,3.858785,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00054,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,RECRUITING,165,1218,199,13.546798,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00055,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,SUSPENDED,5,1218,199,0.410509,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00056,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,TERMINATED,129,1218,199,10.591133,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00057,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,UNKNOWN,199,1218,199,16.338259,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00058,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Overall_Status,ALL,CATEGORY_COUNT,WITHDRAWN,47,1218,199,3.858785,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00059,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Period,ALL,CATEGORY_COUNT,2008-2016,440,1218,0,36.124795,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00060,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Period,ALL,CATEGORY_COUNT,2017-2018,134,1218,0,11.001642,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00061,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Period,ALL,CATEGORY_COUNT,2019-2025,644,1218,0,52.873563,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00062,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_REGISTRY,Adult_Relevant_Registry,ALL,CATEGORY_COUNT,YES,1218,1218,0,100.0,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00063,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Study_Type,ALL,CATEGORY_COUNT,INTERVENTIONAL,117,117,0,100.0,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00064,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Randomized,ALL,CATEGORY_COUNT,NO,37,117,0,31.623932,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00065,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Randomized,ALL,CATEGORY_COUNT,YES,80,117,0,68.376068,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00066,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_COLLABORATOR,7,117,0,5.982906,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00067,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_LEAD,38,117,0,32.478632,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00068,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Industry_Role,ALL,CATEGORY_COUNT,NO_RECORDED_INDUSTRY_ROLE,72,117,0,61.538462,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00069,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Device_Study,ALL,CATEGORY_COUNT,NO,74,117,0,63.247863,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00070,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Device_Study,ALL,CATEGORY_COUNT,YES,43,117,0,36.752137,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00071,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Country_Scope,ALL,CATEGORY_COUNT,MULTICOUNTRY,12,117,8,10.25641,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00072,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Country_Scope,ALL,CATEGORY_COUNT,SINGLE_COUNTRY,97,117,8,82.905983,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00073,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Country_Scope,ALL,CATEGORY_COUNT,UNKNOWN,8,117,8,6.837607,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00074,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,US_Center,ALL,CATEGORY_COUNT,NO,60,117,8,51.282051,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00075,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,US_Center,ALL,CATEGORY_COUNT,UNKNOWN,8,117,8,6.837607,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00076,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,US_Center,ALL,CATEGORY_COUNT,YES,49,117,8,41.880342,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00077,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Registration_Timing,ALL,CATEGORY_COUNT,PROSPECTIVE_OR_SAME_DAY,75,117,0,64.102564,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00078,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Registration_Timing,ALL,CATEGORY_COUNT,RETROSPECTIVE,42,117,0,35.897436,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00079,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,ACTIVE_NOT_RECRUITING,1,117,17,0.854701,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00080,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,COMPLETED,51,117,17,43.589744,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00081,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,ENROLLING_BY_INVITATION,2,117,17,1.709402,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00082,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,NOT_YET_RECRUITING,10,117,17,8.547009,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00083,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,RECRUITING,18,117,17,15.384615,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00084,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,TERMINATED,13,117,17,11.111111,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00085,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,UNKNOWN,17,117,17,14.529915,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00086,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ALL,CATEGORY_COUNT,WITHDRAWN,5,117,17,4.273504,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00087,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Period,ALL,CATEGORY_COUNT,2008-2016,44,117,0,37.606838,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00088,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Period,ALL,CATEGORY_COUNT,2017-2018,11,117,0,9.401709,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00089,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Period,ALL,CATEGORY_COUNT,2019-2025,62,117,0,52.991453,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00090,TRIAL_CHARACTERISTICS,ADULT_RELEVANT_HUMAN_SCOPE,Adult_Relevant_Registry,ALL,CATEGORY_COUNT,YES,117,117,0,100.0,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00091,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Study_Type,ALL,CATEGORY_COUNT,INTERVENTIONAL,304,304,0,100.0,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00092,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Randomized,ALL,CATEGORY_COUNT,NO,74,304,1,24.342105,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00093,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Randomized,ALL,CATEGORY_COUNT,UNKNOWN,1,304,1,0.328947,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00094,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Randomized,ALL,CATEGORY_COUNT,YES,229,304,1,75.328947,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00095,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_COLLABORATOR,17,304,0,5.592105,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00096,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Industry_Role,ALL,CATEGORY_COUNT,INDUSTRY_LEAD,155,304,0,50.986842,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00097,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Industry_Role,ALL,CATEGORY_COUNT,NO_RECORDED_INDUSTRY_ROLE,132,304,0,43.421053,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00098,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Device_Study,ALL,CATEGORY_COUNT,NO,157,304,0,51.644737,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00099,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Device_Study,ALL,CATEGORY_COUNT,YES,147,304,0,48.355263,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00100,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Country_Scope,ALL,CATEGORY_COUNT,MULTICOUNTRY,42,304,26,13.815789,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00101,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Country_Scope,ALL,CATEGORY_COUNT,SINGLE_COUNTRY,236,304,26,77.631579,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00102,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Country_Scope,ALL,CATEGORY_COUNT,UNKNOWN,26,304,26,8.552632,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00103,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,US_Center,ALL,CATEGORY_COUNT,NO,153,304,26,50.328947,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00104,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,US_Center,ALL,CATEGORY_COUNT,UNKNOWN,26,304,26,8.552632,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00105,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,US_Center,ALL,CATEGORY_COUNT,YES,125,304,26,41.118421,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00106,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Registration_Timing,ALL,CATEGORY_COUNT,PROSPECTIVE_OR_SAME_DAY,165,304,0,54.276316,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00107,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Registration_Timing,ALL,CATEGORY_COUNT,RETROSPECTIVE,139,304,0,45.723684,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00108,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Overall_Status,ALL,CATEGORY_COUNT,ACTIVE_NOT_RECRUITING,8,304,57,2.631579,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00109,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Overall_Status,ALL,CATEGORY_COUNT,COMPLETED,145,304,57,47.697368,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00110,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Overall_Status,ALL,CATEGORY_COUNT,NOT_YET_RECRUITING,10,304,57,3.289474,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00111,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Overall_Status,ALL,CATEGORY_COUNT,RECRUITING,28,304,57,9.210526,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00112,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Overall_Status,ALL,CATEGORY_COUNT,SUSPENDED,2,304,57,0.657895,,,,T11_TRIAL_CHARACTERISTICS.csv,
CHR00113,TRIAL_CHARACTERISTICS,VLU_ACTIVE_TREATMENT,Overall_Status,ALL,CATEGORY_COUNT,TERMINATED,42,304,57,13.815789,,,,T11_TRIAL_CHARACTERISTICS.csv,
