Audit_ID,Object,Source,Numerator,Denominator,Unknown_Count,Percentage,Status,Rule
DEN_AGE0034,AGE0034,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,724,1218,38,59.441708,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0035,AGE0035,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,38,1218,38,3.119869,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0036,AGE0036,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,1186,1218,0,97.372742,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0037,AGE0037,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,32,1218,0,2.627258,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0038,AGE0038,T03_AGE_NUMERIC_SUMMARY.csv,,1218,39,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0039,AGE0039,T03_AGE_NUMERIC_SUMMARY.csv,,1218,39,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0040,AGE0040,T03_AGE_NUMERIC_SUMMARY.csv,,1218,39,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0041,AGE0041,T03_AGE_NUMERIC_SUMMARY.csv,,1218,39,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0042,AGE0042,T03_AGE_NUMERIC_SUMMARY.csv,,1218,39,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0043,AGE0043,T03_AGE_NUMERIC_SUMMARY.csv,,1218,762,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0044,AGE0044,T03_AGE_NUMERIC_SUMMARY.csv,,1218,762,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0045,AGE0045,T03_AGE_NUMERIC_SUMMARY.csv,,1218,762,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0046,AGE0046,T03_AGE_NUMERIC_SUMMARY.csv,,1218,762,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0047,AGE0047,T03_AGE_NUMERIC_SUMMARY.csv,,1218,762,,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0001,GER0001,T05_GERIATRIC_DOMAIN_CODES.csv,1175,1218,32,96.469622,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0002,GER0002,T05_GERIATRIC_DOMAIN_CODES.csv,11,1218,32,0.90312,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0003,GER0003,T05_GERIATRIC_DOMAIN_CODES.csv,32,1218,32,2.627258,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0004,GER0004,T05_GERIATRIC_DOMAIN_CODES.csv,763,1218,164,62.643678,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0005,GER0005,T05_GERIATRIC_DOMAIN_CODES.csv,291,1218,164,23.891626,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0006,GER0006,T05_GERIATRIC_DOMAIN_CODES.csv,164,1218,164,13.464696,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0007,GER0007,T05_GERIATRIC_DOMAIN_CODES.csv,925,1218,136,75.944171,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0008,GER0008,T05_GERIATRIC_DOMAIN_CODES.csv,157,1218,136,12.889984,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0009,GER0009,T05_GERIATRIC_DOMAIN_CODES.csv,136,1218,136,11.165846,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0010,GER0010,T05_GERIATRIC_DOMAIN_CODES.csv,1049,1218,140,86.124795,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0011,GER0011,T05_GERIATRIC_DOMAIN_CODES.csv,29,1218,140,2.380952,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0012,GER0012,T05_GERIATRIC_DOMAIN_CODES.csv,140,1218,140,11.494253,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0013,GER0013,T05_GERIATRIC_DOMAIN_CODES.csv,897,1218,216,73.64532,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0014,GER0014,T05_GERIATRIC_DOMAIN_CODES.csv,105,1218,216,8.62069,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0015,GER0015,T05_GERIATRIC_DOMAIN_CODES.csv,216,1218,216,17.73399,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0016,GER0016,T05_GERIATRIC_DOMAIN_CODES.csv,1147,1218,64,94.170772,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0017,GER0017,T05_GERIATRIC_DOMAIN_CODES.csv,7,1218,64,0.574713,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
