NCT_ID,Measure_Title,Category,Participant_Count,Selected_Group_ID,Unit,JSON_Pointer
NCT02248740,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02284373,"Age, Categorical",<=18 years,0.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02284373,"Age, Categorical",Between 18 and 65 years,14.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02284373,"Age, Categorical",>=65 years,22.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02339233,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02339233,"Age, Categorical",Between 18 and 65 years,8.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02339233,"Age, Categorical",>=65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02577900,"Age, Categorical",<=18 years,0.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02577900,"Age, Categorical",Between 18 and 65 years,19.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02577900,"Age, Categorical",>=65 years,12.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02600611,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02600611,"Age, Categorical",Between 18 and 65 years,480.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02600611,"Age, Categorical",>=65 years,118.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02607618,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02607618,"Age, Categorical",Between 18 and 65 years,490.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02607618,"Age, Categorical",>=65 years,110.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02622295,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02622295,"Age, Categorical",Between 18 and 65 years,71.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02622295,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02650440,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02650440,"Age, Categorical",Between 18 and 65 years,14.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02650440,"Age, Categorical",>=65 years,4.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02682069,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02682069,"Age, Categorical",Between 18 and 65 years,30.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02682069,"Age, Categorical",>=65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02701101,"Age, Customized",NOT_PUBLICLY_SPECIFIED,182.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
