Stratum,Metric,Numerator,Denominator,Unknown_Count,Percent_Total,Small_Denominator_Flag
PERIOD:2008-2016,FINITE_UPPER_AGE_LIMIT,149,440,14,33.863636,NO
PERIOD:2008-2016,ELIGIBLE_85_RECONCILED,324,440,16,73.636364,NO
PERIOD:2017-2018,FINITE_UPPER_AGE_LIMIT,51,134,2,38.059701,NO
PERIOD:2017-2018,ELIGIBLE_85_RECONCILED,95,134,2,70.895522,NO
PERIOD:2019-2025,FINITE_UPPER_AGE_LIMIT,256,644,23,39.751553,NO
PERIOD:2019-2025,ELIGIBLE_85_RECONCILED,415,644,20,64.440994,NO
