Age_Scale,Threshold_Years,Category,Count,Total_Denominator,Evaluable_Denominator,Unknown_Count,Percent_Total,Percent_Evaluable
STRUCTURED,65,YES,1098,1218,1179,39,90.147783,93.129771
STRUCTURED,75,YES,970,1218,1179,39,79.638752,82.273113
STRUCTURED,80,YES,915,1218,1179,39,75.123153,77.608142
STRUCTURED,85,YES,847,1218,1179,39,69.54023,71.840543
RECONCILED,65,YES,1103,1218,1191,27,90.558292,92.611251
RECONCILED,75,YES,978,1218,1191,27,80.295567,82.115869
RECONCILED,80,YES,925,1218,1191,27,75.944171,77.665827
RECONCILED,85,YES,858,1218,1191,27,70.44335,72.040302
