Composite,Category,Count,Denominator,Unknown_Count,Percent
PRIMARY_EIGHT_DOMAIN_ANY_PRESENT,YES,575,1218,319,47.208539
PRIMARY_EIGHT_DOMAIN_ANY_PRESENT,NO,324,1218,319,26.600985
PRIMARY_EIGHT_DOMAIN_ANY_PRESENT,UNKNOWN,319,1218,319,26.190476
ALL_NINE_DOMAIN_ANY_PRESENT,YES,575,1218,322,47.208539
ALL_NINE_DOMAIN_ANY_PRESENT,NO,321,1218,322,26.35468
ALL_NINE_DOMAIN_ANY_PRESENT,UNKNOWN,322,1218,322,26.436782
PROXY_CONSENT_PATHWAY_PRESENT,YES,29,1218,140,2.380952
PROXY_CONSENT_PATHWAY_PRESENT,NO,1049,1218,140,86.124795
PROXY_CONSENT_PATHWAY_PRESENT,UNKNOWN,140,1218,140,11.494253
