Field,Observed_N,Total_Denominator,Unknown_Count,Median,Q1,Q3,Minimum,Maximum,Unit
Minimum_Age_Years,1179,1218,39,18.0,18.0,18.0,0.0,75.0,years
Maximum_Age_Years,456,1218,762,75.0,65.0,85.0,18.0,130.0,years
