QA_Object,Observed,Expected,Status,Unknown_Count
FINAL_INCLUDED_NCT_IDS,1218,1218,PASS,0
FULL_JSON_HASH_COVERAGE,1218,1218,PASS,0
AGE_FIELD_ROWS,18270,18270,PASS,0
GERIATRIC_DOMAIN_ROWS,10962,10962,PASS,0
FRAMEWORK_ROWS,1218,1218,PASS,0
OUTCOME_ROWS,7633,7633,PASS,0
UNRESOLVED_FINAL_VALUES,0,0,PASS,0
