Framework,Coverage_Window,Dimension,Category,Outcome_Row_Count,Outcome_Row_Denominator,Unknown_Count,Percent
OUTPUTS,ANY_PLANNED,INSTRUMENT_STATUS,UNKNOWN,715,1060,715,67.45283
OUTPUTS,ANY_PLANNED,INSTRUMENT_STATUS,UNNAMED,298,1060,715,28.113208
OUTPUTS,ANY_PLANNED,UNIT_OF_ANALYSIS,BODY_SITE,84,1060,617,7.924528
OUTPUTS,ANY_PLANNED,UNIT_OF_ANALYSIS,EVENT,14,1060,617,1.320755
OUTPUTS,ANY_PLANNED,UNIT_OF_ANALYSIS,LIMB,19,1060,617,1.792453
OUTPUTS,ANY_PLANNED,UNIT_OF_ANALYSIS,PATIENT,258,1060,617,24.339623
OUTPUTS,ANY_PLANNED,UNIT_OF_ANALYSIS,REQUIRES_EXPERT_DECISION,617,1060,617,58.207547
OUTPUTS,ANY_PLANNED,UNIT_OF_ANALYSIS,ULCER_OR_WOUND,68,1060,617,6.415094
OUTPUTS,ANY_PLANNED,OUTCOME_NATURE,DIRECT_PATIENT_IMPORTANT,78,1060,50,7.358491
OUTPUTS,ANY_PLANNED,OUTCOME_NATURE,INTERMEDIATE_OR_SURROGATE,128,1060,50,12.075472
OUTPUTS,ANY_PLANNED,OUTCOME_NATURE,REQUIRES_EXPERT_DECISION,50,1060,50,4.716981
OUTPUTS,ANY_PLANNED,OUTCOME_NATURE,RESOURCE_USE,74,1060,50,6.981132
OUTPUTS,ANY_PLANNED,OUTCOME_NATURE,SAFETY,38,1060,50,3.584906
OUTPUTS,ANY_PLANNED,OUTCOME_NATURE,UNCLEAR,692,1060,50,65.283019
OUTPUTS,ANY_PLANNED,TIME_FRAME_SPECIFIED,NOT_PUBLICLY_SPECIFIED,1,1060,1,0.09434
OUTPUTS,ANY_PLANNED,TIME_FRAME_SPECIFIED,YES,1059,1060,1,99.90566
OUTPUTS,ANY_PLANNED,NAMED_INSTRUMENT,UNKNOWN,715,1060,715,67.45283
OUTPUTS,ANY_PLANNED,NAMED_INSTRUMENT,UNNAMED,298,1060,715,28.113208
OUTPUTS,ANY_PLANNED,NAMED_INSTRUMENT,YES,47,1060,715,4.433962
