Direction,Count,Full_Denominator,Full_Percent,Evaluable_Denominator,Evaluable_Percent,Indeterminate_N,Lower_Bound_Percent,Upper_Bound_Percent,Unit
EXCLUSION_OR_RESTRICTION,247,788,31.345178,689,35.849057,99,31.345178,43.908629,source-linked PRESENT row
INCLUSION_OR_ACCOMMODATION,118,788,14.974619,689,17.12627,99,14.974619,27.538071,source-linked PRESENT row
BASELINE_MEASUREMENT_OR_STRATIFICATION,97,788,12.309645,689,14.078374,99,12.309645,24.873096,source-linked PRESENT row
CONSENT_OR_PROXY_SUPPORT,29,788,3.680203,689,4.208999,99,3.680203,16.243655,source-linked PRESENT row
INTERVENTION_OR_CARE_ADAPTATION,90,788,11.42132,689,13.062409,99,11.42132,23.984772,source-linked PRESENT row
CONTEXTUAL_DESCRIPTION,106,788,13.451777,689,15.384615,99,13.451777,26.015228,source-linked PRESENT row
MULTIPLE_FUNCTIONS,2,788,0.253807,689,0.290276,99,0.253807,12.817259,source-linked PRESENT row
INDETERMINATE_DIRECTION,99,788,12.563452,689,,99,,,source-linked PRESENT row
