NCT_ID,Maximum_Age_Years,Source_Field,JSON_Pointer,Exact_Source_Evidence,Raw_JSON_Path,Raw_JSON_SHA256,Disposition
NCT03217838,130.0,maximumAge,/protocolSection/eligibilityModule/maximumAge,130 Years,data/raw/step_07/clinicaltrials_api/full_records/2026-07-25/NCT03217838__v1__lastupdate-2022-04-05.json,5276ebe20bf6257ba112e7ab6843bba035d393695b7c1ba5dd907cac9cf47250,RETAIN_AS_OFFICIAL_REGISTRY_VALUE_WITH_SENSITIVITY_FLAG
NCT04219696,130.0,maximumAge,/protocolSection/eligibilityModule/maximumAge,130 Years,data/raw/step_07/clinicaltrials_api/full_records/2026-07-25/NCT04219696__v1__lastupdate-2025-03-25.json,600bbd328b23e99ca4f837188c91c1baea644b16615e37230b9d64b6f8e1a77b,RETAIN_AS_OFFICIAL_REGISTRY_VALUE_WITH_SENSITIVITY_FLAG
