Age_Scale,Threshold_Years,Category,Count,Total_Denominator,Evaluable_Denominator,Unknown_Count,Percent_Total,Percent_Evaluable
STRUCTURED_UPPER_AGE_STATUS,NA,FINITE_UPPER_LIMIT,456,1218,1180,38,37.438424,38.644068
STRUCTURED_UPPER_AGE_STATUS,NA,NO_EXPLICIT_STRUCTURED_UPPER_LIMIT,724,1218,1180,38,59.441708,61.355932
STRUCTURED_UPPER_AGE_STATUS,NA,UNKNOWN,38,1218,1180,38,3.119869,NA
AGE_FIELD_CONFLICT,NA,FALSE,1186,1218,1218,0,97.372742,97.372742
AGE_FIELD_CONFLICT,NA,TRUE,32,1218,1218,0,2.627258,2.627258
