Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Coverage_Window,Registration_Timing,Domain
OUTPUTS_PRIMARY_REGISTERED_RETROSPECTIVE_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,3,80,71,9,3.75,4.225352,3.75,15.0,11.25,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,RETROSPECTIVE,adverse_events_safety
OUTPUTS_PRIMARY_REGISTERED_RETROSPECTIVE_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,0,80,71,9,0.0,0.0,0.0,11.25,11.25,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,RETROSPECTIVE,ALL_DOMAINS_PRESENT
OUTPUTS_PRIMARY_REGISTERED_UNKNOWN_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,UNKNOWN,pressure_injury_occurrence
OUTPUTS_PRIMARY_REGISTERED_UNKNOWN_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,UNKNOWN,precursor_signs_symptoms
OUTPUTS_PRIMARY_REGISTERED_UNKNOWN_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,UNKNOWN,mobility
OUTPUTS_PRIMARY_REGISTERED_UNKNOWN_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,UNKNOWN,acceptability_comfort
OUTPUTS_PRIMARY_REGISTERED_UNKNOWN_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,UNKNOWN,adherence_compliance
OUTPUTS_PRIMARY_REGISTERED_UNKNOWN_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,UNKNOWN,adverse_events_safety
OUTPUTS_PRIMARY_REGISTERED_UNKNOWN_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,UNKNOWN,ALL_DOMAINS_PRESENT
OUTPUTS_ANY_REGISTERED_ALL_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,43,184,155,29,23.369565,27.741935,23.369565,39.130435,15.76087,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,ALL,pressure_injury_occurrence
OUTPUTS_ANY_REGISTERED_ALL_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,5,184,152,32,2.717391,3.289474,2.717391,20.108696,17.391304,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,ALL,precursor_signs_symptoms
OUTPUTS_ANY_REGISTERED_ALL_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,32,184,157,27,17.391304,20.382166,17.391304,32.065217,14.673913,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,ALL,mobility
OUTPUTS_ANY_REGISTERED_ALL_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,26,184,158,26,14.130435,16.455696,14.130435,28.26087,14.130435,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,ALL,acceptability_comfort
OUTPUTS_ANY_REGISTERED_ALL_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,5,184,152,32,2.717391,3.289474,2.717391,20.108696,17.391304,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,ALL,adherence_compliance
OUTPUTS_ANY_REGISTERED_ALL_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,19,184,158,26,10.326087,12.025316,10.326087,24.456522,14.130435,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,ALL,adverse_events_safety
OUTPUTS_ANY_REGISTERED_ALL_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,0,184,152,32,0.0,0.0,0.0,17.391304,17.391304,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,ALL,ALL_DOMAINS_PRESENT
OUTPUTS_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,20,104,86,18,19.230769,23.255814,19.230769,36.538462,17.307692,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,pressure_injury_occurrence
OUTPUTS_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,3,104,83,21,2.884615,3.614458,2.884615,23.076923,20.192308,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,precursor_signs_symptoms
OUTPUTS_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,22,104,87,17,21.153846,25.287356,21.153846,37.5,16.346154,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,mobility
OUTPUTS_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,17,104,88,16,16.346154,19.318182,16.346154,31.730769,15.384615,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,acceptability_comfort
OUTPUTS_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,4,104,83,21,3.846154,4.819277,3.846154,24.038462,20.192308,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,adherence_compliance
OUTPUTS_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,15,104,88,16,14.423077,17.045455,14.423077,29.807692,15.384615,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,adverse_events_safety
OUTPUTS_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,0,104,83,21,0.0,0.0,0.0,20.192308,20.192308,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,ALL_DOMAINS_PRESENT
OUTPUTS_ANY_REGISTERED_RETROSPECTIVE_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,23,80,69,11,28.75,33.333333,28.75,42.5,13.75,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,RETROSPECTIVE,pressure_injury_occurrence
OUTPUTS_ANY_REGISTERED_RETROSPECTIVE_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,2,80,69,11,2.5,2.898551,2.5,16.25,13.75,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,RETROSPECTIVE,precursor_signs_symptoms
OUTPUTS_ANY_REGISTERED_RETROSPECTIVE_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,10,80,70,10,12.5,14.285714,12.5,25.0,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,RETROSPECTIVE,mobility
OUTPUTS_ANY_REGISTERED_RETROSPECTIVE_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,9,80,70,10,11.25,12.857143,11.25,23.75,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,RETROSPECTIVE,acceptability_comfort
OUTPUTS_ANY_REGISTERED_RETROSPECTIVE_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,1,80,69,11,1.25,1.449275,1.25,15.0,13.75,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,RETROSPECTIVE,adherence_compliance
OUTPUTS_ANY_REGISTERED_RETROSPECTIVE_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,4,80,70,10,5.0,5.714286,5.0,17.5,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,RETROSPECTIVE,adverse_events_safety
OUTPUTS_ANY_REGISTERED_RETROSPECTIVE_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,0,80,69,11,0.0,0.0,0.0,13.75,13.75,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,RETROSPECTIVE,ALL_DOMAINS_PRESENT
OUTPUTS_ANY_REGISTERED_UNKNOWN_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,UNKNOWN,pressure_injury_occurrence
OUTPUTS_ANY_REGISTERED_UNKNOWN_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,UNKNOWN,precursor_signs_symptoms
OUTPUTS_ANY_REGISTERED_UNKNOWN_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,UNKNOWN,mobility
OUTPUTS_ANY_REGISTERED_UNKNOWN_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,UNKNOWN,acceptability_comfort
OUTPUTS_ANY_REGISTERED_UNKNOWN_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,UNKNOWN,adherence_compliance
OUTPUTS_ANY_REGISTERED_UNKNOWN_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,UNKNOWN,adverse_events_safety
OUTPUTS_ANY_REGISTERED_UNKNOWN_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,UNKNOWN,ALL_DOMAINS_PRESENT
