Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Coverage_Window,Registration_Timing,Domain
COREVEN_PRIMARY_REGISTERED_RETROSPECTIVE_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,0,139,125,14,0.0,0.0,0.0,10.071942,10.071942,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,RETROSPECTIVE,ALL_DOMAINS_PRESENT
COREVEN_PRIMARY_REGISTERED_UNKNOWN_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,UNKNOWN,healing
COREVEN_PRIMARY_REGISTERED_UNKNOWN_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,UNKNOWN,pain
COREVEN_PRIMARY_REGISTERED_UNKNOWN_quality_of_life,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,UNKNOWN,quality_of_life
COREVEN_PRIMARY_REGISTERED_UNKNOWN_resource_use,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,UNKNOWN,resource_use
COREVEN_PRIMARY_REGISTERED_UNKNOWN_adverse_events,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,UNKNOWN,adverse_events
COREVEN_PRIMARY_REGISTERED_UNKNOWN_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,UNKNOWN,ALL_DOMAINS_PRESENT
COREVEN_ANY_REGISTERED_ALL_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,132,304,269,35,43.421053,49.070632,43.421053,54.934211,11.513158,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,ALL,healing
COREVEN_ANY_REGISTERED_ALL_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,115,304,279,25,37.828947,41.218638,37.828947,46.052632,8.223684,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,ALL,pain
COREVEN_ANY_REGISTERED_ALL_quality_of_life,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,79,304,264,40,25.986842,29.924242,25.986842,39.144737,13.157895,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,ALL,quality_of_life
