Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Final_COS_Electronic_Publication_Date,Temporal_Scenario,Coverage_Window,Domain
COREVEN_PRE_FINAL_COS_PRIMARY_REGISTERED_healing,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,67,265,248,17,25.283019,27.016129,25.283019,31.698113,6.415094,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,PRE_FINAL_COS,PRIMARY_REGISTERED,healing
COREVEN_PRE_FINAL_COS_PRIMARY_REGISTERED_pain,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,27,265,247,18,10.188679,10.931174,10.188679,16.981132,6.792453,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,PRE_FINAL_COS,PRIMARY_REGISTERED,pain
COREVEN_PRE_FINAL_COS_PRIMARY_REGISTERED_quality_of_life,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,5,265,247,18,1.886792,2.024291,1.886792,8.679245,6.792453,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,PRE_FINAL_COS,PRIMARY_REGISTERED,quality_of_life
COREVEN_PRE_FINAL_COS_PRIMARY_REGISTERED_resource_use,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,1,265,246,19,0.377358,0.406504,0.377358,7.54717,7.169811,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,PRE_FINAL_COS,PRIMARY_REGISTERED,resource_use
COREVEN_PRE_FINAL_COS_PRIMARY_REGISTERED_adverse_events,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,44,265,250,15,16.603774,17.6,16.603774,22.264151,5.660377,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,PRE_FINAL_COS,PRIMARY_REGISTERED,adverse_events
COREVEN_PRE_FINAL_COS_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,0,265,246,19,0.0,0.0,0.0,7.169811,7.169811,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,PRE_FINAL_COS,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
COREVEN_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_healing,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,22,39,37,2,56.410256,59.459459,56.410256,61.538462,5.128205,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,healing
COREVEN_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_pain,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,4,39,37,2,10.25641,10.810811,10.25641,15.384615,5.128205,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,pain
COREVEN_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_quality_of_life,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,39,36,3,0.0,0.0,0.0,7.692308,7.692308,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,quality_of_life
COREVEN_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_resource_use,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,39,36,3,0.0,0.0,0.0,7.692308,7.692308,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,resource_use
COREVEN_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_adverse_events,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,2,39,37,2,5.128205,5.405405,5.128205,10.25641,5.128205,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,adverse_events
COREVEN_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,39,36,3,0.0,0.0,0.0,7.692308,7.692308,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
COREVEN_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_healing,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,17,31,29,2,54.83871,58.62069,54.83871,61.290323,6.451613,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,healing
COREVEN_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_pain,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,4,31,29,2,12.903226,13.793103,12.903226,19.354839,6.451613,INDETERMINATE_AFTER_REVIEW,COREVEN,2024-03-04,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,pain
