Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State
COREVEN_PRIMARY_REGISTERED_healing,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,89,304,285,19,29.276316,31.22807,29.276316,35.526316,6.25,INDETERMINATE_AFTER_REVIEW
COREVEN_PRIMARY_REGISTERED_pain,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,31,304,284,20,10.197368,10.915493,10.197368,16.776316,6.578947,INDETERMINATE_AFTER_REVIEW
COREVEN_PRIMARY_REGISTERED_quality_of_life,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,5,304,283,21,1.644737,1.766784,1.644737,8.552632,6.907895,INDETERMINATE_AFTER_REVIEW
COREVEN_PRIMARY_REGISTERED_resource_use,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,1,304,282,22,0.328947,0.35461,0.328947,7.565789,7.236842,INDETERMINATE_AFTER_REVIEW
COREVEN_PRIMARY_REGISTERED_adverse_events,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,46,304,287,17,15.131579,16.027875,15.131579,20.723684,5.592105,INDETERMINATE_AFTER_REVIEW
COREVEN_PRIMARY_REGISTERED_ALL_DOMAINS,REGISTERED_OUTCOME_COMPLETE_COVERAGE,COREVEN_APPLICABLE,0,304,282,22,0.0,0.0,0.0,7.236842,7.236842,INDETERMINATE_AFTER_REVIEW
COREVEN_ANY_REGISTERED_healing,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,132,304,269,35,43.421053,49.070632,43.421053,54.934211,11.513158,INDETERMINATE_AFTER_REVIEW
COREVEN_ANY_REGISTERED_pain,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,115,304,279,25,37.828947,41.218638,37.828947,46.052632,8.223684,INDETERMINATE_AFTER_REVIEW
COREVEN_ANY_REGISTERED_quality_of_life,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,79,304,264,40,25.986842,29.924242,25.986842,39.144737,13.157895,INDETERMINATE_AFTER_REVIEW
COREVEN_ANY_REGISTERED_resource_use,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,18,304,246,58,5.921053,7.317073,5.921053,25.0,19.078947,INDETERMINATE_AFTER_REVIEW
COREVEN_ANY_REGISTERED_adverse_events,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,112,304,272,32,36.842105,41.176471,36.842105,47.368421,10.526316,INDETERMINATE_AFTER_REVIEW
COREVEN_ANY_REGISTERED_ALL_DOMAINS,REGISTERED_OUTCOME_COMPLETE_COVERAGE,COREVEN_APPLICABLE,2,304,242,62,0.657895,0.826446,0.657895,21.052632,20.394737,INDETERMINATE_AFTER_REVIEW
