Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Final_COS_Electronic_Publication_Date,Temporal_Scenario,Coverage_Window,Domain
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,15,56,43,13,26.785714,34.883721,26.785714,50.0,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,pressure_injury_occurrence
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,0,56,43,13,0.0,0.0,0.0,23.214286,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,precursor_signs_symptoms
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,8,56,43,13,14.285714,18.604651,14.285714,37.5,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,mobility
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,3,56,43,13,5.357143,6.976744,5.357143,28.571429,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,acceptability_comfort
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,0,56,43,13,0.0,0.0,0.0,23.214286,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,adherence_compliance
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,1,56,43,13,1.785714,2.325581,1.785714,25.0,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,adverse_events_safety
OUTPUTS_POST_FINAL_COS_6_MONTH_LAG_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_6_MONTH_LAG,0,56,43,13,0.0,0.0,0.0,23.214286,23.214286,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_6_MONTH_LAG,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_PRIMARY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,14,49,37,12,28.571429,37.837838,28.571429,53.061224,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,PRIMARY_REGISTERED,pressure_injury_occurrence
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_PRIMARY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,0,49,37,12,0.0,0.0,0.0,24.489796,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,PRIMARY_REGISTERED,precursor_signs_symptoms
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_PRIMARY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,6,49,37,12,12.244898,16.216216,12.244898,36.734694,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,PRIMARY_REGISTERED,mobility
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_PRIMARY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,2,49,37,12,4.081633,5.405405,4.081633,28.571429,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,PRIMARY_REGISTERED,acceptability_comfort
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_PRIMARY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,0,49,37,12,0.0,0.0,0.0,24.489796,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,PRIMARY_REGISTERED,adherence_compliance
