Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State
AGE_STRUCTURED_65,AGE_THRESHOLD,ALL_INCLUDED,1098,1218,1179,39,90.147783,93.129771,90.147783,93.349754,3.201970,INDETERMINATE_AFTER_REVIEW
AGE_STRUCTURED_75,AGE_THRESHOLD,ALL_INCLUDED,970,1218,1179,39,79.638752,82.273113,79.638752,82.840722,3.201970,INDETERMINATE_AFTER_REVIEW
AGE_STRUCTURED_80,AGE_THRESHOLD,ALL_INCLUDED,915,1218,1179,39,75.123153,77.608142,75.123153,78.325123,3.201970,INDETERMINATE_AFTER_REVIEW
AGE_STRUCTURED_85,AGE_THRESHOLD,ALL_INCLUDED,847,1218,1179,39,69.540230,71.840543,69.540230,72.742200,3.201970,INDETERMINATE_AFTER_REVIEW
AGE_RECONCILED_65,AGE_THRESHOLD,ALL_INCLUDED,1103,1218,1191,27,90.558292,92.611251,90.558292,92.775041,2.216749,INDETERMINATE_AFTER_REVIEW
AGE_RECONCILED_75,AGE_THRESHOLD,ALL_INCLUDED,978,1218,1191,27,80.295567,82.115869,80.295567,82.512315,2.216749,INDETERMINATE_AFTER_REVIEW
AGE_RECONCILED_80,AGE_THRESHOLD,ALL_INCLUDED,925,1218,1191,27,75.944171,77.665827,75.944171,78.160920,2.216749,INDETERMINATE_AFTER_REVIEW
AGE_RECONCILED_85,AGE_THRESHOLD,ALL_INCLUDED,858,1218,1191,27,70.443350,72.040302,70.443350,72.660099,2.216749,INDETERMINATE_AFTER_REVIEW
AGE_FINITE_UPPER_LIMIT,AGE_UPPER_LIMIT,ALL_INCLUDED,456,1218,1180,38,37.438424,38.644068,37.438424,40.558292,3.119869,INDETERMINATE_AFTER_REVIEW
