Register_ID,Artifact_Type,Source_File,Source_Row_Number,Row_Key,Field,Value,Numerator_Context,Denominator_Context,Percent_Context,Source_SHA256,Interpretation_Boundary
NRR000011,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,4,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_75_STRUCTURED,Unknown_Count,42,969,1218,79.55665,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000012,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,4,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_75_STRUCTURED,Percent,79.55665,969,1218,79.55665,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000013,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,5,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_75_STRUCTURED,Numerator,1011,1011,1218,83.004926,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000014,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,5,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_75_STRUCTURED,Denominator,1218,1011,1218,83.004926,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000015,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,5,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_75_STRUCTURED,Unknown_Count,42,1011,1218,83.004926,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000016,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,5,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_75_STRUCTURED,Percent,83.004926,1011,1218,83.004926,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000017,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,6,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_80_STRUCTURED,Numerator,914,914,1218,75.041051,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000018,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,6,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_80_STRUCTURED,Denominator,1218,914,1218,75.041051,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000019,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,6,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_80_STRUCTURED,Unknown_Count,42,914,1218,75.041051,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000020,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,6,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_80_STRUCTURED,Percent,75.041051,914,1218,75.041051,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
